president,datetime,sentiment,tweet,genderpronoun
Obama,5/06/2012 0:00,-0.166666667,"FACT: By age 65, a typical woman will have lost $431,000 over her working lifetime because of the earnings gap. #EqualPay",her
Obama,8/06/2012 0:00,0,"RT @BenLaBolt: VIDEO: he said it -- Mitt Romney promises to fire teachers, police officers, firemen.http://www.youtube.com/watch?v=LoSmWK_-x4g …",he
Obama,12/06/2012 0:00,0,"Romney thinks we need fewer teachers, firefighters, and police officers—and now he  won’t talk about it:http://OFA.BO/MMEumL ",he
Obama,20/06/2012 0:00,0,"Mitt Romney promised to cut taxes as governor. The n he  imposed over 1,000 fee hikes on MA's middle class:http://OFA.BO/YWPvXN ",he
Obama,23/06/2012 0:00,0.5,President Obama said he  ’d fight to make college more affordable—here’s how he  delivered: http://OFA.BO/evLLLg  #PromiseKept,he
Obama,28/06/2012 0:00,0.5,"Emily has the coverage she needs to stay he althy, despite her pre-existing condition:http://OFA.BO/CrwXdg ",she
Obama,19/07/2012 0:00,-0.4,“he aring him talk about equality and what he 's done is thereason I'm behind him.” http://OFA.BO/bT5e2x  #Obama2012,him
Obama,28/07/2012 0:00,0,The President has a birthday next week—wish him well in his 51st year:http://OFA.BO/wPcw91 ,him
Obama,12/07/2012 0:00,-0.1,"Mitt Romney says he  left his buyout firm in 1999, but the  facts say otherwise:http://OFA.BO/FsDF32 ",he
Obama,12/07/2012 0:00,0.166666667,"FACT: Romney’s MA financial disclosure form shows that he  earned more than $100,000 at Bain in 2001 and 2002— years after he  claims he left.",he
Obama,12/07/2012 0:00,-0.075,"FACT: Mitt Romney publicly says he  left his buyout firm in 1999, but was listed on SEC filings until 2002.http://OFA.BO/GrbYVM ",he
Obama,16/07/2012 0:00,0.55,POTUS on what he  and Gov. Romney stand for: “I believe women should be able to control the ir own he alth care decisions. he  does not.”,he
Obama,16/07/2012 0:00,0,Barber in audience asks POTUS if he  can cut his hair. POTUS: “You know that you would not want a President who was disloyal to his barber.”,he
Obama,18/07/2012 0:00,-0.125,"If you don’t buy Mitt Romney’s excuse that he  “retroactively retired” from his buyout firm, you’re not alone:http://OFA.BO/Cc7GDX ",he
Obama,23/07/2012 0:00,0,.@AshleyJudd hosted a Women Vote 2012 Summit with @OFA_NC yesterday—and she brought a couple friends:pic.twitter.com/q89sXPMu,she
Obama,25/07/2012 0:00,-0.1,Associated Press fact che ck: Mitt Romney continued meeting with partners at his buyout firm after he says he left. http://OFA.BO/jcY36v ,he
Obama,8/08/2012 0:00,0,POTUS: “I don’t think a college student in Colorado Springs should have to choose between textbooks or the preventive care she needs.”,she
Obama,8/08/2012 0:00,0.211038961,"New York Times: “If Mr. Romney truly cared about the ‘fundamental right to vote,’ he would support it for everyone.” http://OFA.BO/49R2V5 ",he
Obama,11/08/2012 0:00,0.3,FACT: Paul Ryan would cut Pell Grant scholarships for nearly 10 million students even as he gives tax cuts to the wealthy.,he
Obama,14/08/2012 0:00,0,"FACT: Mitt Romney says he would get rid of the wind energy production tax credit, which could cost up to 37,000 American jobs within a year.",he
Obama,26/08/2012 0:00,0.5,President Obama said he ’d fight to make college more affordable—and he did: http://OFA.BO/QxvVy1  #PromiseKept,he
Obama,28/08/2012 0:00,0,"If you're standing with President Obama in this election, let him know now: http://OFA.BO/VppCtZ ,pic.twitter.com/nluGRL8b",him
Obama,13/09/2012 0:00,0.533333333,RT if you agree: Romney should come clean and release his tax returns so voters know whe ther he paid his fair share.,he
Obama,22/09/2012 0:00,0.116666667,"Romney finally released a 2nd full year of tax returns, revealing millions invested overseas. What else is he hiding?http://OFA.BO/jJJ2Wa ",he
Obama,23/09/2012 0:00,0.333333333,"Just 44 days left to re-elect our 44th President. Pitch in $5 now, whe n it matters most, to he lp put him over the top: http://OFA.BO/ZJGCAj ",him
Obama,26/09/2012 0:00,0.266666667,"FACT: Romney has said it’s “fair” for him to pay a lower tax rate than a worker making $50,000, despite making nearly $14 million last year.",him
Obama,27/09/2012 0:00,0.7,“My opponent thinks it’s fair that someone who makes $20 million a year like him pays a lower rate than a cop or a teacher who makes $50K.”,him
Obama,28/09/2012 0:00,-0.166666667,RT if you agree: We can’t afford a leader who writes off nearly half the country before he even takes office.,he
Obama,28/09/2012 0:00,0.28,"A high school teacher making $54,000 who's got three kids and is her household's primary source of income. #WrittenOffByRomney",her
Obama,30/09/2012 0:00,0.25,"Meet Margaret: She just turned 106, she first voted in 1928, and she can’t wait to vote for President Obama this fall.http://OFA.BO/HXsWAk ",she
Obama,1/10/2012 0:00,0.35,"FACT: Romney created or raised more than 1,000 taxes and fees in Massachusetts, despite promising that he wouldn’t raise taxes.",he
Obama,4/10/2012 0:00,0,"On Romney: “Whe n he was asked what he ’d do to cut the deficit & reduce spending, he said he ’d eliminate funding for public television.”",he
Obama,4/10/2012 0:00,0.222987013,"FACT: Last night, Romney confirmed that he opposes asking the very wealthy for a single dollar in new revenue to reduce the deficit.",he
Obama,8/10/2012 0:00,0,"FACT: In 2008, Barack Obama said he would end the war in Iraq, and he kept his promise.http://OFA.BO/sxWcKb ",he
Obama,10/10/2012 0:00,0.242857143,"FACT: #TherealRomney has said he wants to see Roe v. Wade overturned, denying women theright to choose.",he
Obama,11/10/2012 0:00,0,"Joe Biden: ""If you notice, he never answers the question."" #DetailsMatter",he
Obama,11/10/2012 0:00,0.136363636,"President Obama on Mitt Romney: “Whe n he ’s asked about the cost of his new tax plan, he just pretends it doesn't exist.”",he
Obama,11/10/2012 0:00,0.5,"""After more than a year in which he said he was 'severely conservative,' Romney’s trying to convince you that he was severely kidding.”",he
Obama,12/10/2012 0:00,0.433333333,"If you're proud of Vice President Biden for winning last night's debate, let him know: http://OFA.BO/EdS3VJ  #TeamObamaBiden",him
Obama,12/10/2012 0:00,0.442857143,"FACT: Romney and Ryan support overturning Roe v. Wade, which would take away a woman’s right to make her own he alth decisions.",her
Obama,13/10/2012 0:00,0.4,Mitt Romney paid a lower tax rate last year than many middle-class Americans—and he says that’s “fair”:http://OFA.BO/UujBrg ,he
Obama,14/10/2012 0:00,0,President Obama stands up for middle-class families. Stand up for him by getting involved at your local field office: http://OFA.BO/qeYpQx ,him
Obama,14/10/2012 0:00,0,"Arlen Specter changed lives through years of service in the Senate with toughness, resolve, and fierce independence. he will be missed. -bo",he
Obama,16/10/2012 0:00,0,"RT if you agree: If we can’t trust Romney to tell the truth on the campaign trail, we can't trust him in the Oval Office.",him
Obama,16/10/2012 0:00,0.6,"FACT: Romney claims he ’d cover people with pre-existing conditions after repealing Obamacare, but even his own campaign said he wouldn't.",he
